JD,Magnitude,Uncertainty,Observer
2460350.888316,7.588,0.004,HMB
2460350.88842,7.601,0.004,HMB
2460350.89873,7.852240827218145,0.001,PEX
2460351.29054,7.634240827218145,0.001,PEX
2460351.892569,7.902,0.007,HMB
2460351.89265,7.929,0.007,HMB
2460352.24395,7.775240827218145,0.002,PEX
2460352.24542,8.040240827218145,0.008,PEX
2460352.24694,8.553240827218145,0.002,PEX
2460354.30677,8.613240827218146,0.001,PEX
2460354.32953,8.864168779186125,0.003,YBA
2460354.34209,8.459240827218146,0.000,PEX
2460354.34302,8.433240827218146,0.001,PEX
2460354.34414,8.458240827218146,0.001,PEX
2460354.34513,8.406240827218145,0.000,PEX
2460354.34602,8.433240827218146,0.001,PEX
2460354.86707,8.624786524349567,0.035,LBEC
2460354.893831,8.675,0.007,HMB
2460354.8939,8.667,0.007,HMB
2460355.84677,8.903786524349567,0.043,LBEC
2460356.28377,9.065168779186124,0.026,YBA
2460356.83238,9.134786524349567,0.079,LBEC
2460357.19669,9.061174116077385,0.02,NLX
2460357.28499,9.381168779186124,0.020,YBA
2460357.29681,9.433240827218144,0.001,PEX
2460357.87405,9.425786524349567,0.081,LBEC
2460357.895347,9.458,0.007,HMB
2460357.895417,9.453,0.007,HMB
2460358.34699,9.190240827218146,0.001,PEX
2460358.348,9.167240827218144,0.001,PEX
2460358.87102,9.549786524349566,0.056,LBEC
2460358.896192,9.573,0.008,HMB
2460358.896273,9.582,0.008,HMB
2460359.81504,8.60353435623749,0.003,RFDA
2460359.815568,8.574534356237491,0.002,RFDA
2460359.81602,8.56253435623749,0.001,RFDA
2460359.816468,8.56553435623749,0.002,RFDA
2460359.816919,8.561534356237491,0.001,RFDA
2460359.817379,8.65853435623749,0.002,RFDA
2460359.81783,8.586534356237491,0.001,RFDA
2460359.818282,8.621534356237492,0.002,RFDA
2460359.818727,8.73253435623749,0.002,RFDA
2460359.819181,8.615534356237491,0.002,RFDA
2460359.819634,8.596534356237491,0.002,RFDA
2460359.820086,8.553534356237492,0.002,RFDA
2460359.82054,8.588534356237492,0.001,RFDA
2460359.820995,8.554534356237491,0.002,RFDA
2460359.82145,8.631534356237491,0.002,RFDA
2460359.821912,8.634534356237491,0.002,RFDA
2460359.822367,8.699534356237491,0.001,RFDA
2460359.82283,8.72253435623749,0.001,RFDA
2460359.82328,8.557534356237491,0.002,RFDA
2460359.823732,8.577534356237491,0.002,RFDA
2460359.824192,8.656534356237492,0.001,RFDA
2460359.82465,8.641534356237491,0.002,RFDA
2460359.82511,8.650534356237491,0.002,RFDA
2460359.825564,8.599534356237491,0.002,RFDA
2460359.826017,8.63553435623749,0.001,RFDA
2460359.826468,8.605534356237492,0.002,RFDA
2460359.826918,8.683534356237491,0.002,RFDA
2460359.827365,8.686534356237491,0.002,RFDA
2460359.827812,8.62353435623749,0.002,RFDA
2460359.828267,8.56553435623749,0.001,RFDA
2460359.828725,8.627534356237492,0.002,RFDA
2460359.829179,8.714534356237492,0.001,RFDA
2460359.829635,8.652534356237492,0.001,RFDA
2460359.8301,8.634534356237491,0.002,RFDA
2460359.830552,8.59453435623749,0.002,RFDA
2460359.831009,8.65553435623749,0.002,RFDA
2460359.831466,8.749534356237492,0.002,RFDA
2460359.831922,8.763534356237491,0.002,RFDA
2460359.832372,8.66453435623749,0.002,RFDA
2460359.832833,8.598534356237492,0.002,RFDA
2460359.833292,8.573534356237491,0.002,RFDA
2460359.833747,8.644534356237491,0.001,RFDA
2460359.834199,8.74853435623749,0.002,RFDA
2460359.83465,8.70653435623749,0.002,RFDA
2460359.835111,8.62653435623749,0.002,RFDA
2460359.835562,8.58153435623749,0.002,RFDA
2460359.836015,8.598534356237492,0.001,RFDA
2460359.836535,8.662534356237492,0.002,RFDA
2460359.836992,8.727534356237491,0.003,RFDA
2460359.837442,8.602534356237491,0.002,RFDA
2460359.837901,8.717534356237492,0.002,RFDA
2460359.838362,8.713534356237492,0.002,RFDA
2460359.838818,8.707534356237492,0.002,RFDA
2460359.839262,8.668534356237492,0.002,RFDA
2460359.839714,8.679534356237491,0.002,RFDA
2460359.840169,8.70353435623749,0.002,RFDA
2460359.840617,8.724534356237491,0.002,RFDA
2460359.841066,8.590534356237491,0.003,RFDA
2460359.841523,8.620534356237492,0.003,RFDA
2460359.841983,8.669534356237492,0.002,RFDA
2460359.842444,8.72853435623749,0.002,RFDA
2460359.842899,8.713534356237492,0.002,RFDA
2460359.843355,8.668534356237492,0.002,RFDA
2460359.843819,8.614534356237492,0.002,RFDA
2460359.844272,8.679534356237491,0.002,RFDA
2460359.84472,8.675534356237492,0.002,RFDA
2460359.845172,8.624534356237492,0.002,RFDA
2460359.845627,8.586534356237491,0.003,RFDA
2460359.846081,8.605534356237492,0.002,RFDA
2460359.846539,8.660534356237491,0.002,RFDA
2460359.846991,8.61953435623749,0.002,RFDA
2460359.847451,8.662534356237492,0.002,RFDA
2460359.847907,8.621534356237492,0.003,RFDA
2460359.848367,8.615534356237491,0.003,RFDA
2460359.848829,8.61953435623749,0.002,RFDA
2460359.849276,8.622534356237491,0.003,RFDA
2460359.84973,8.588534356237492,0.002,RFDA
2460359.850186,8.662534356237492,0.002,RFDA
2460359.85064,8.62953435623749,0.002,RFDA
2460359.851094,8.583534356237491,0.002,RFDA
2460359.851555,8.58153435623749,0.003,RFDA
2460359.852013,8.65553435623749,0.003,RFDA
2460359.852479,8.625534356237491,0.003,RFDA
2460359.852926,8.714534356237492,0.002,RFDA
2460359.853385,8.714534356237492,0.003,RFDA
2460359.853837,8.644534356237491,0.002,RFDA
2460359.854288,8.57153435623749,0.002,RFDA
2460359.854747,8.67753435623749,0.002,RFDA
2460359.855209,8.634534356237491,0.002,RFDA
2460359.855672,8.691534356237492,0.002,RFDA
2460359.856126,8.70653435623749,0.002,RFDA
2460359.856585,8.705534356237491,0.002,RFDA
2460359.857046,8.704534356237492,0.002,RFDA
2460359.857578,8.72553435623749,0.002,RFDA
2460359.858037,8.756534356237491,0.002,RFDA
2460359.858486,8.70353435623749,0.002,RFDA
2460359.858936,8.556534356237492,0.003,RFDA
2460359.859393,8.775534356237491,0.002,RFDA
2460359.859852,8.813534356237492,0.002,RFDA
2460359.860311,8.59753435623749,0.003,RFDA
2460359.860769,8.60753435623749,0.002,RFDA
2460359.86122,8.612534356237491,0.002,RFDA
2460359.861671,8.60753435623749,0.002,RFDA
2460359.862128,8.593534356237491,0.002,RFDA
2460359.862583,8.60053435623749,0.002,RFDA
2460359.863047,8.583534356237491,0.002,RFDA
2460359.863502,8.605534356237492,0.002,RFDA
2460359.863954,8.558534356237491,0.003,RFDA
2460359.864407,8.583534356237491,0.002,RFDA
2460359.864867,8.55553435623749,0.003,RFDA
2460359.865327,8.561534356237491,0.002,RFDA
2460359.865787,8.636534356237492,0.002,RFDA
2460359.866249,8.561534356237491,0.002,RFDA
2460359.866703,8.566534356237492,0.003,RFDA
2460359.867153,8.651534356237491,0.002,RFDA
2460359.867604,8.570534356237491,0.003,RFDA
2460359.86805,8.57553435623749,0.002,RFDA
2460359.868502,8.609534356237491,0.002,RFDA
2460359.868961,8.56553435623749,0.002,RFDA
2460359.869418,8.601534356237492,0.002,RFDA
2460359.869876,8.61953435623749,0.002,RFDA
2460359.870336,8.634534356237491,0.002,RFDA
2460359.870791,8.63253435623749,0.003,RFDA
2460359.87104,9.912786524349567,0.109,LBEC
2460359.871247,8.596534356237491,0.002,RFDA
2460359.871697,8.646534356237492,0.002,RFDA
2460359.872145,8.66453435623749,0.002,RFDA
2460359.872602,8.56253435623749,0.003,RFDA
2460359.873061,8.58453435623749,0.002,RFDA
2460359.873518,8.67153435623749,0.002,RFDA
2460359.873974,8.659534356237492,0.002,RFDA
2460359.874431,8.651534356237491,0.002,RFDA
2460359.874894,8.67453435623749,0.002,RFDA
2460359.875357,8.64253435623749,0.003,RFDA
2460359.87581,8.739534356237492,0.002,RFDA
2460359.876266,8.697534356237492,0.002,RFDA
2460359.876724,8.63953435623749,0.002,RFDA
2460359.877185,8.715534356237491,0.002,RFDA
2460359.877643,8.673534356237491,0.002,RFDA
2460359.878102,8.692534356237491,0.002,RFDA
2460359.878624,8.60053435623749,0.002,RFDA
2460359.879082,8.75753435623749,0.002,RFDA
2460359.879541,8.733534356237492,0.002,RFDA
2460359.879997,8.69653435623749,0.002,RFDA
2460359.880457,8.64853435623749,0.002,RFDA
2460359.880911,8.681534356237492,0.002,RFDA
2460359.88137,8.737534356237491,0.002,RFDA
2460359.881828,8.775534356237491,0.002,RFDA
2460359.882291,8.82553435623749,0.002,RFDA
2460359.882746,8.925534356237492,0.002,RFDA
2460359.883196,8.787534356237492,0.002,RFDA
2460359.896713,9.826,0.008,HMB
2460359.896782,9.887,0.008,HMB
2460360.33676,9.279240827218144,0.001,PEX
2460360.33765,9.268240827218145,0.001,PEX
2460360.33881,9.291240827218145,0.001,PEX
2460360.33972,9.272240827218145,0.001,PEX
2460360.34065,9.254240827218146,0.001,PEX
2460360.34155,9.280240827218146,0.001,PEX
2460360.896736,10.017,0.008,HMB
2460360.896817,10.032,0.008,HMB
2460361.28867,10.208240827218145,0.001,PEX
2460361.2936,10.091168779186123,0.007,YBA
2460361.34353,9.360240827218146,0.001,PEX
2460361.34456,9.383240827218145,0.001,PEX
2460361.34547,9.386240827218145,0.001,PEX
2460361.34637,9.380240827218145,0.001,PEX
2460361.34733,9.430240827218146,0.001,PEX
2460361.3484,9.403240827218145,0.001,PEX
2460364.87802,10.595786524349567,0.118,LBEC
2460364.89122,10.698786524349567,0.044,LBEC
2460364.898819,10.62,0.009,HMB
2460364.8989,10.574,0.009,HMB
2460365.88088,10.910786524349566,0.030,LBEC
2460365.88122,10.721786524349566,0.044,LBEC
2460366.88106,10.607786524349567,0.054,LBEC
2460367.87503,11.115786524349566,0.017,LBEC
2460367.8851,10.867786524349567,0.097,LBEC
2460367.900255,10.938,0.012,HMB
2460367.900336,10.952,0.013,HMB
2460368.87796,10.955786524349566,0.106,LBEC
2460369.88464,11.059786524349567,0.031,LBEC
2460369.901042,11.095,0.013,HMB
2460369.901123,11.088,0.013,HMB
2460370.88837,11.124786524349567,0.082,LBEC
2460370.895382,11.188,0.013,HMB
2460370.895451,11.204,0.013,HMB
2460371.88843,11.196786524349566,0.030,LBEC
2460371.892627,11.267,0.014,HMB
2460371.892697,11.296,0.014,HMB
2460372.88807,11.240786524349566,0.043,LBEC
2460372.889757,11.294,0.014,HMB
2460372.889826,11.287,0.014,HMB
2460373.15954,11.331174116077385,0.02,NLX
2460373.82364,11.456198132088058,"0,01",CCT
2460373.889861,11.418,0.015,HMB
2460373.889931,11.402,0.015,HMB
2460374.18612,11.411174116077385,0.02,NLX
2460374.88811,11.500786524349566,0.059,LBEC
2460374.890579,11.486,0.016,HMB
2460374.89066,11.494,0.016,HMB
2460375.88793,11.480786524349567,0.087,LBEC
2460375.890475,11.545,0.016,HMB
2460375.890556,11.492,0.015,HMB
2460376.891215,11.662,0.017,HMB
2460376.891285,11.675,0.018,HMB
2460376.89144,11.555786524349566,0.032,LBEC
2460377.138445,11.571174116077385,0.02,NLX
2460377.27398,11.804240827218145,0.003,PEX
2460377.27626,11.674168779186124,0.006,YBA
2460377.89184,11.584786524349566,0.087,LBEC
2460377.891921,11.732,0.019,HMB
2460377.891991,11.746,0.018,HMB
2460378.8916,11.650786524349567,0.040,LBEC
2460378.891875,11.791,0.019,HMB
2460378.891956,11.723,0.018,HMB
2460379.17322,11.751174116077385,0.02,NLX
2460379.2376,11.932240827218145,0.003,PEX
2460379.89191,11.706786524349566,0.050,LBEC
2460379.892569,11.882,0.021,HMB
2460379.89265,11.904,0.021,HMB
2460380.15931,11.811174116077385,0.02,NLX
2460380.89144,11.839786524349567,0.063,LBEC
2460380.892639,11.941,0.021,HMB
2460380.892708,11.886,0.022,HMB
2460381.83827,11.96319813208806,"0,01",CCT
2460381.889826,11.957,0.022,HMB
2460381.889907,11.946,0.022,HMB
2460381.89553,11.915786524349567,0.064,LBEC
2460382.890984,12.226,0.034,HMB
2460382.891053,12.134,0.030,HMB
2460382.89159,11.965786524349566,0.054,LBEC
2460383.890498,11.996,0.025,HMB
2460383.890567,12.038,0.027,HMB
2460383.8919,11.962786524349566,0.074,LBEC
2460384.22495,11.971174116077385,0.015,NLX
2460384.891134,12.143,0.029,HMB
2460384.891215,12.124,0.028,HMB
2460384.89154,11.994786524349566,0.082,LBEC
2460385.891181,12.113,0.025,HMB
2460385.89125,12.083,0.023,HMB
2460385.89185,12.020786524349566,0.047,LBEC
2460386.22045,12.064240827218145,0.007,PEX
2460386.22288,11.890168779186125,0.060,YBA
2460386.824826,12.16419813208806,"0,01",CCT
2460386.891215,12.125,0.026,HMB
2460386.891296,12.189,0.027,HMB
2460386.89142,12.113786524349566,0.066,LBEC
2460387.891921,12.055,0.042,HMB
2460387.891991,12.177,0.047,HMB
2460388.20454,11.985168779186123,0.022,YBA
2460388.21213,12.113240827218146,0.008,PEX
2460388.89191,12.17,0.074,HMB
2460388.891991,12.288,0.081,HMB
2460389.19365,12.147168779186124,0.008,YBA
2460389.21596,12.254240827218146,0.004,PEX
2460389.89272,12.285,0.030,HMB
2460389.892789,12.181,0.027,HMB
2460389.89502,12.129786524349566,0.080,LBEC
2460390.21976,12.262240827218145,0.004,PEX
2460390.821447,12.314198132088059,"0,01",CCT
2460390.892523,12.307,0.029,HMB
2460390.892593,12.275,0.031,HMB
2460391.18779,12.274168779186125,0.008,YBA
2460391.19876,12.339240827218145,0.005,PEX
2460391.89166,12.164786524349566,0.121,LBEC
2460391.893137,12.241,0.029,HMB
2460391.893206,12.202,0.027,HMB
2460392.18508,12.140168779186125,0.026,YBA
2460392.893391,12.25,0.028,HMB
2460392.893472,12.292,0.031,HMB
2460393.893183,12.297,0.031,HMB
2460393.893264,12.354,0.030,HMB
2460394.18454,12.202168779186124,0.018,YBA
2460394.21272,12.281174116077384,0.02,NLX
2460394.893935,12.298,0.031,HMB
2460394.894016,12.362,0.030,HMB
2460395.210825,12.301174116077384,0.02,NLX
2460395.87779,12.308786524349566,0.113,LBEC
2460395.89397,12.371,0.032,HMB
2460395.894051,12.328,0.031,HMB
2460396.17432,12.328168779186123,0.011,YBA
2460396.215012,12.361174116077384,0.02,NLX
2460396.22949,12.476240827218145,0.006,PEX
2460396.891227,12.491,0.044,HMB
2460396.891296,12.353,0.041,HMB
2460397.17178,12.328168779186123,0.088,YBA
2460397.1926,12.381174116077384,0.03,NLX
2460397.23157,12.562240827218146,0.005,PEX
2460397.891655,12.307,0.105,HMB
2460397.891725,12.306,0.095,HMB
2460398.9058,12.458786524349566,0.060,LBEC
2460399.883947,12.45,0.038,HMB
2460399.884028,12.446,0.038,HMB
2460400.884907,12.443,0.037,HMB
2460400.884988,12.344,0.037,HMB
2460401.814954,12.540198132088058,"0,01",CCT
2460401.884734,12.533,0.037,HMB
2460401.884815,12.493,0.039,HMB
2460402.885405,12.534,0.038,HMB
2460402.885475,12.642,0.043,HMB
2460403.26775,12.717240827218145,0.004,PEX
2460403.885417,12.621,0.040,HMB
2460403.885498,12.668,0.042,HMB
2460404.27021,12.718240827218144,0.015,PEX
2460404.885498,12.639,0.041,HMB
2460404.885567,12.648,0.043,HMB
2460405.095928,12.541174116077384,0.02,NLX
2460405.803808,12.680198132088059,"0,01",CCT
2460405.886134,12.694,0.042,HMB
2460405.886215,12.66,0.041,HMB
2460406.15781,12.757240827218146,0.012,PEX
2460406.800961,12.724198132088059,"0,01",CCT
2460406.886169,12.688,0.053,HMB
2460406.88625,12.628,0.048,HMB
2460406.89897,12.529786524349566,0.094,LBEC
2460407.15997,12.758240827218145,0.005,PEX
2460407.8861,12.616,0.041,HMB
2460407.886181,12.628,0.039,HMB
2460408.16486,12.694240827218145,0.005,PEX
2460408.886771,12.691,0.041,HMB
2460408.886852,12.752,0.044,HMB
2460409.886852,12.716,0.042,HMB
2460409.886921,12.683,0.042,HMB
2460410.886794,12.693,0.041,HMB
2460410.886875,12.621,0.040,HMB
2460410.91625,12.606786524349566,0.086,LBEC
2460411.15979,12.785240827218145,0.005,PEX
2460411.78673,12.71619813208806,"0,01",CCT
2460411.8875,12.75,0.038,HMB
2460411.887581,12.751,0.040,HMB
2460412.17502,12.756240827218145,0.005,PEX
2460412.37509,12.577240827218144,0.007,PEX
2460412.37544,12.584240827218146,0.008,PEX
2460412.37579,12.597240827218146,0.008,PEX
2460412.887512,12.716,0.045,HMB
2460412.887581,12.678,0.045,HMB
2460413.887697,12.836,0.156,HMB
2460413.887766,12.697,0.108,HMB
2460414.18933,12.881240827218145,0.011,PEX
2460414.3822,12.643240827218145,0.008,PEX
2460414.38258,12.671240827218146,0.008,PEX
2460414.38295,12.644240827218145,0.009,PEX
2460414.888183,12.858,0.053,HMB
2460414.888264,12.838,0.049,HMB
2460415.19438,12.868240827218145,0.005,PEX
2460415.29271,12.356240827218144,0.008,PEX
2460415.29309,12.318240827218146,0.008,PEX
2460415.29346,12.334240827218146,0.008,PEX
2460416.38662,12.680240827218146,0.010,PEX
2460416.387,12.645240827218146,0.010,PEX
2460416.38737,12.669240827218145,0.010,PEX
2460416.888218,13.002,0.055,HMB
2460416.888299,12.759,0.044,HMB
2460417.13284,12.850240827218146,0.006,PEX
2460417.31601,12.536240827218146,0.009,PEX
2460417.31639,12.381240827218145,0.008,PEX
2460417.31676,12.394240827218145,0.008,PEX
2460417.888866,12.907,0.050,HMB
2460417.888935,12.873,0.049,HMB
2460418.13644,12.966240827218146,0.006,PEX
2460418.888924,12.856,0.048,HMB
2460418.888993,12.825,0.048,HMB
2460419.38494,12.558240827218144,0.010,PEX
2460419.38531,12.585240827218145,0.010,PEX
2460419.38569,12.605240827218145,0.011,PEX
2460419.783831,12.91619813208806,"0,01",CCT
2460419.888958,12.893,0.051,HMB
2460419.889039,12.909,0.048,HMB
2460420.88963,12.831,0.048,HMB
2460420.889711,12.869,0.049,HMB
2460421.889653,12.879,0.057,HMB
2460421.889722,12.913,0.057,HMB
2460422.041958,12.891174116077385,0.03,NLX
2460422.775336,12.968198132088059,"0,01",CCT
2460422.88956,12.907,0.053,HMB
2460422.889641,12.984,0.054,HMB
2460423.092666,12.901174116077385,0.02,NLX
2460423.889549,12.953,0.054,HMB
2460423.88963,12.917,0.050,HMB
2460424.87963,12.706786524349566,0.174,LBEC
2460424.890278,12.823,0.046,HMB
2460424.890347,12.875,0.050,HMB
2460425.890266,12.888,0.050,HMB
2460425.890347,12.801,0.048,HMB
2460426.890289,12.907,0.055,HMB
2460426.89037,13.003,0.058,HMB
2460427.890972,12.995,0.057,HMB
2460427.891042,13.011,0.060,HMB
2460428.891007,13.12,0.068,HMB
2460428.891088,12.962,0.058,HMB
2460429.891053,13.063,0.065,HMB
2460429.891134,13.077,0.066,HMB
2460430.891806,13.031,0.058,HMB
2460430.891875,13.072,0.061,HMB
2460431.891701,13.142,0.069,HMB
2460431.891771,12.977,0.059,HMB
2460432.891667,13.134,0.067,HMB
2460432.891748,12.971,0.057,HMB
2460432.90073,13.008786524349567,0.060,LBEC
2460433.110771,13.161174116077385,0.02,NLX
2460433.748611,13.145198132088058,"0,01",CCT
2460433.891701,13.292,0.080,HMB
2460433.891771,13.049,0.063,HMB
2460434.743113,12.923198132088057,"0,01",CCT
2460435.1091,13.207240827218145,0.008,PEX
2460435.892384,13.296,0.073,HMB
2460435.892454,13.159,0.061,HMB
2460436.044272,13.261174116077385,0.02,NLX
2460436.736632,13.29419813208806,"0,01",CCT
2460436.84845,13.179786524349566,0.118,LBEC
2460436.893079,13.264,0.072,HMB
2460436.893148,13.193,0.079,HMB
2460437.21209,13.281174116077384,0.02,NLX
2460437.893044,13.154,0.064,HMB
2460437.893113,13.344,0.075,HMB
2460438.11042,13.331240827218146,0.018,PEX
2460438.735451,13.299198132088058,"0,01",CCT
2460438.893056,13.233,0.066,HMB
2460438.893125,13.169,0.067,HMB
2460439.11573,13.303240827218145,0.058,PEX
2460439.73235,13.301198132088057,"0,01",CCT
2460439.887477,13.278,0.074,HMB
2460439.887546,13.139,0.061,HMB
2460440.89397,12.535,0.376,HMB
2460441.893692,13.304,0.076,HMB
2460441.893762,13.368,0.078,HMB
2460442.720394,13.339198132088057,"0,01",CCT
2460442.894444,13.222,0.072,HMB
2460442.894514,13.298,0.076,HMB
2460443.24006,13.521240827218145,0.029,PEX
2460443.717963,13.35519813208806,"0,01",CCT
2460443.894421,13.247,0.073,HMB
2460443.894502,13.244,0.068,HMB
2460444.894444,13.38,0.075,HMB
2460444.894525,13.524,0.087,HMB
2460444.94729,13.441174116077384,0.02,NLX
2460446.895093,13.441,0.106,HMB
2460446.895162,13.349,0.098,HMB
2460447.710451,13.470198132088058,"0,01",CCT
2460447.895116,13.402,0.087,HMB
2460447.895185,13.629,0.103,HMB
2460448.704271,13.535198132088059,"0,01",CCT
2460448.895845,13.473,0.097,HMB
2460448.895926,13.514,0.090,HMB
2460449.895787,13.586,0.103,HMB
2460449.895868,13.402,0.084,HMB
2460450.895845,13.472,0.099,HMB
2460450.895926,13.442,0.086,HMB
2460451.22043,13.575240827218146,0.007,PEX
2460452.69235,13.52719813208806,"0,01",CCT
2460452.896493,13.444,0.089,HMB
2460452.896563,13.647,0.110,HMB
2460454.897257,13.41,0.095,HMB
2460454.897338,13.628,0.118,HMB
2460455.897292,13.636,0.152,HMB
2460455.897361,13.464,0.128,HMB
2460456.606343,13.551,0.104,HMB
2460456.606424,13.555,0.105,HMB
2460457.60353,13.764,0.121,HMB
2460457.603611,13.841,0.125,HMB
2460457.976369,13.881174116077384,0.04,NLX
2460458.600741,13.615,0.111,HMB
2460458.60081,13.892,0.136,HMB
2460458.998177,13.901174116077385,0.02,NLX
2460459.59787,13.886,0.133,HMB
2460459.597951,13.722,0.118,HMB
2460459.686215,13.863198132088058,"0,01",CCT
2460460.083505,13.951174116077384,0.02,NLX
2460460.084177,13.951174116077384,0.02,NLX
2460460.595185,14.084,0.156,HMB
2460460.595266,14.041,0.150,HMB
2460461.592373,13.978,0.148,HMB
2460461.592442,13.959,0.132,HMB
2460461.66934,13.924198132088058,"0,01",CCT
2460462.07721,14.022240827218145,0.008,PEX
2460462.589595,13.755,0.113,HMB
2460462.589676,14.607,0.264,HMB
2460463.586771,13.746,0.114,HMB
2460463.58684,13.94,0.142,HMB
2460464.584838,14.127,0.161,HMB
2460464.584907,13.841,0.127,HMB
2460465.581898,14.013,0.154,HMB
2460465.581968,13.872,0.142,HMB
2460466.579329,13.999,0.148,HMB
2460466.57941,13.827,0.131,HMB
2460466.91971,14.141174116077385,0.07,NLX
2460467.1413,14.107240827218146,0.006,PEX
2460467.576412,14.23,0.178,HMB
2460467.576481,14.099,0.176,HMB
2460467.916255,14.171174116077385,0.03,NLX
2460468.36918,14.156240827218145,0.012,PEX
2460468.662106,14.087198132088059,"0,01",CCT
2460469.650359,14.099198132088059,"0,01",CCT
2460470.644016,14.104198132088058,"0,01",CCT
2460471.068121,14.251174116077385,0.03,NLX
2460471.565336,13.921,0.141,HMB
2460471.565405,14.287,0.198,HMB
2460471.644514,14.179198132088057,"0,01",CCT
2460472.565475,14.295,0.191,HMB
2460472.565544,14.03,0.152,HMB
2460472.939809,14.301174116077384,0.03,NLX
2460473.56272,13.904,0.141,HMB
2460473.562789,14.104,0.170,HMB
2460473.635428,14.206198132088058,"0,01",CCT
2460474.560509,14.424,0.225,HMB
2460474.56059,14.36,0.219,HMB
2460474.632639,14.191198132088058,"0,01",CCT
2460475.13229,14.393240827218145,0.053,PEX
2460475.687789,14.21619813208806,"0,01",CCT
2460476.14172,14.251240827218146,0.014,PEX
2460476.554722,14.042,0.146,HMB
2460476.554803,13.87,0.124,HMB
2460476.631319,14.256198132088059,"0,01",CCT
2460476.879053,14.341174116077385,0.04,NLX
2460477.627975,14.252198132088058,"0,01",CCT
2460477.87876,14.311174116077385,0.02,NLX
2460478.621655,14.267198132088058,"0,01",CCT
